insurer_name,portal_base_do_corretor,portal_base_do_segurado,existe_app_relevante,principais_jornadas_identificadas,superficies_mais_uteis_para_corretora,risco_de_bloqueio,recomendacao_dashboard,observacoes,insurer_key,operational_row_level_available,operational_row_count,operational_summary_checked_at,operational_latest_row_checked_at
Alfa Seguros,https://areacorretor.alfaseguradora.com.br/,https://wwws.alfaseguradora.com.br/Segurado/,no,"login_base, cotação, login_base, assistência, apólice/documentos","Assistência 24H / contatos (auto/vida), Formulários Úteis (sinistro)",medium,portal_first,,alfa,yes,12,2026-04-06,2026-04-07
Allianz,https://www.allianznet.com.br/ngx-epac/public/home,https://seguros.allianz.com.br/ngx-ecliente/public/register,yes,"assistência, cobrança, cotação, login_base, mobile_app, sinistro, suporte","AllianzNet Corretor, Allianz Cliente, Sinistro Digital (controlexpert), Pagamentos, Assistência 24h online, Chat",medium,mixed,Sinistro e assistência têm componentes em domínios terceiros (ControlExpert; assistencia24h). Portal Transportes dedicado.,allianz,yes,15,2026-04-06,2026-04-06
Azul Seguros,https://www.azulseguros.com.br/area-restrita/,https://www.azulseguros.com.br/area-restrita/,no,"login_base, login_base, login_base, login_base, login_base, cotação",,high,portal_first,,azul,yes,23,2026-04-06,2026-04-07
Bradesco Seguros,https://wwws.bradescoseguros.com.br/portaldenegocios/index.asp,,yes,"login_base, mobile_app, mobile_app, segunda_via, status, sinistro, mobile_app","Central Segunda Via de Boleto (clientes), Acompanhamento de sinistro Auto (segurado/terceiro), Central de Sinistro Auto (identificação)",medium,mixed,,bradesco,no,0,2026-04-06,
Chubb,,,no,"login_base, sinistro, sinistro, apólice/documentos, sinistro","Portal de Sinistros Chubb (landing), Aviso de Sinistro (fluxo), Apólice Digital (portal), Comunique um Sinistro (plataforma LA)",medium,portal_first,,chubb,yes,14,2026-04-06,2026-04-07
Generali Brasil,,https://portal.generali.com.br/Portal/usuario/login,no,"login_base, sinistro",Acione o seu seguro (landing),medium,portal_first,,generali,no,0,2026-04-06,
HDI,https://www.hdi.com.br/hdidigital/,https://www.hdi.com.br/segurado/v2/portalDoSegurado/login,yes,"assistência, login_base, mobile_app, sinistro, suporte","HDI Digital (corretor), Portal do Segurado (apólice/boleto/sinistro/assistência), Portal do Terceiro, Apps HDI Segurado/Corretor",medium,mixed,Canais Digitais e Acessos listam explicitamente portais por público; assistência usa canal externo (facil24h).,hdi,yes,13,2026-04-06,2026-04-06
MAPFRE,https://negocios.mapfre.com.br/,https://mol.mapfre.com.br/,yes,"login_base, suporte, login_base, login_base, sinistro, sinistro, status, mobile_app, mobile_app","Sinistro (landing), Sinistro - Não sou segurado (auto), Status/consulta de sinistro (portal dedicado)",medium,mixed,,mapfre,no,0,2026-04-06,
Porto,https://corretor.portoseguro.com.br/corretoronline/,https://cliente.portoseguro.com.br/auth/login,yes,"assistência, cotação, login_base, mobile_app, sinistro, status, suporte, segunda_via","Corretor Online (CPF+SUSEP+reCAPTCHA), App Porto, Quero Pagar (2ª via), Sinistros (hub/veículos/celular/vida), Assistência 24h (carro)",high,mixed,Login do corretor menciona reCAPTCHA; várias páginas de portal/atendimento são SPA/JS-heavy e podem exigir navegação real.,porto,yes,16,2026-04-06,2026-04-06
Sura,https://www.segurossura.com.br/acesso-portal/corretor.html,,no,"login_base, login_base, cotação, login_base, suporte",,high,human_only_for_now,,sura,no,0,2026-04-06,
Seguros Unimed,https://www.segurosunimed.com.br/login-corretor,,no,"login_base, cotação, login_base, suporte",,medium,portal_first,,seguros_unimed,no,0,2026-04-06,
Sompo,https://corretor.sompo.com.br/PortalCorretor_Th/Login.aspx,https://segurado.sompo.com.br/SompoPortalSegurado/Login.aspx,no,"login_base, login_base, suporte",,high,portal_first,,sompo,no,0,2026-04-06,
Suhai Seguradora,https://suhaiseguradora.com/area-do-corretor/,,no,"login_base, status",Autoatendimento de Sinistro,medium,portal_first,,suhai,no,0,2026-04-06,
SulAmérica,https://corretor.sulamericaseguros.com.br/,https://portal.sulamericaseguros.com.br/main.jsp?lumPageId=402881823D9DF8EE013D9E0F894208B0,yes,"login_base, login_base, login_base, cobrança, mobile_app, suporte",Pagamentos (validação e boletos),medium,mixed,,sulamerica,yes,36,2026-04-06,2026-04-07
Tokio Marine,https://portalparceiros.tokiomarine.com.br/,https://autoatendimento.tokiomarine.com.br/,yes,"assistência, apólice/documentos, cobrança, cotação, login_base, mobile_app, suporte","Portal Parceiros/SSO (corretor), Tokio Corretor (app), Autoatendimento (cliente), Cotações online (cotacoes.tokiomarine.com.br), Canais Digitais (hub)",high,mixed,Área do corretor usa SSO (ssoportais3/openam); várias rotas do autoatendimento são SPA e não renderizaram texto na coleta.,tokio_marine,yes,16,2026-04-06,2026-04-06
Yelum,https://novomeuespacocorretor.yelumseguros.com.br/home,https://meuespaco.yelumseguros.com.br/,yes,"login_base, suporte, login_base, apólice/documentos, status, apólice/documentos, mobile_app, mobile_app, mobile_app, login_base, apólice/documentos","Meu Espaço Cliente - Enviar Documentos, Meu Espaço Cliente - Acompanhar Sinistro, Meu Espaço Cliente - 2ª via apólice",medium,mixed,,yelum,no,0,2026-04-06,
Yelum (legado Liberty),,,no,apólice/documentos,,medium,portal_first,,liberty_legacy,no,0,2026-04-06,
Zurich,https://espacoparceiros.zurich.com.br/,https://espacoclientes.zurich.com.br/,yes,"login_base, login_base, login_base, apólice/documentos, status, sinistro, mobile_app","Envio de documentos (sinistro), Acompanhamento de sinistro (Espaço Parceiro), Sinistro Auto Terceiro (fluxo no Portal Cliente)",medium,mixed,,zurich,no,0,2026-04-06,
