insurer_name,insurer_key,portal_base_do_corretor,existe_api_publica_ou_portal_dev,tipo_de_evidencia_tecnica_encontrada,principais_jornadas_identificadas,risco_de_bloqueio,nivel_de_dependencia_de_credencial_contexto_onboarding,observacoes_importantes,recomendacao_dashboard,checked_at,entity_type
Porto,porto,https://corretor.portoseguro.com.br/corretoronline/,sim,Portal de desenvolvedor + docs OAuth2 (client_id/client_secret) + sandbox + base de suporte,developer_portal; api_catalog; autenticação/token; sandbox; suporte,médio,alto (parceria/acordo + aprovação + gestão de app/credenciais),Portal indica aceite apenas de parceiros com acordo. Fluxo baseado em APP e token OAuth2.,mixed,2026-04-06,insurer
Zurich,zurich,https://zews.zurich.com.br/WebPartnership/Login,sim,Portal de desenvolvedor (Sensedia) + guias de autenticação/tokens + OAuth2,developer_portal; api_catalog; autenticação/token,médio-alto,alto (acesso via ponto de contato na companhia; liberação),Portal de desenvolvedores orienta solicitar acesso por contato Zurich; documentação completa depende de login.,mixed,2026-04-06,insurer
HDI,hdi,https://www.hdiseguros.com.br/acessos,sim,Portal Developers + referências de API com endpoints (openapi.*) + Swagger/Postman para download,developer_portal; autenticação/token; cotação/recálculo/efetivação; status de propostas,médio,alto (solicitação de acesso + token; possível governança por parceiro),Documentação de API expõe ambientes de homologação e produção e artefatos (Swagger/Postman).,api_first,2026-04-06,insurer
Tokio Marine,tokio_marine,https://portalparceiros.tokiomarine.com.br/,sim,API Portal (Sensedia) + documentação (API Guide/FAQ) + evidência de Swagger UI,developer_portal; api_catalog; autenticação (a confirmar em API Guide); apólices/endossos (via Swagger UI),médio,médio-alto (conta no portal; possível aprovação),Portal descreve criação de conta e uso de API Browser; URLs adicionais podem ser camada institucional.,mixed,2026-04-06,insurer
SulAmérica,sulamerica,https://corretor.sulamericaseguros.com.br/,sim,SulAmérica Developers (Sensedia) + instruções de app (client_id/client_secret) + doc/SDKs,developer_portal; api_catalog; autenticação/token; SDKs; códigos de erro,médio,alto (login Sensedia + registro de app e credenciais),Documentação descreve geração de access token via client_id/client_secret por aplicativo registrado.,api_first,2026-04-06,insurer
Bradesco Seguros,bradesco,https://wwws.bradescoseguros.com.br/portaldenegocios/index.asp,sim,"API Developer Portal; menciona OAuth2, JWT e certificados (SSL/mTLS); Swagger disponível",developer_portal; api_catalog; cotação; efetivação; pagamento; consulta; endosso,médio-alto,alto (exige parceria/liberação; potencial mTLS/setup + processo comercial),Portal distingue documentação disponível vs uso efetivo (liberação para parceiros).,api_first,2026-04-06,insurer
Sompo,sompo,https://corretor.sompo.com.br/PortalCorretor_Th/Login.aspx,sim,Developers Portal (Sensedia) + sandbox + swagger + guias de autenticação (access-token + Bearer),developer_portal; api_catalog; autenticação/token; corretor; segurado; prestador; sinistro; apólices,médio,médio-alto (registro/conta + autenticação plataforma + possível aprovação),Portal explicita pages por público (corretor/segurado/prestador) e uso de swagger/sandbox.,api_first,2026-04-06,insurer
Allianz,allianz,https://www.allianznet.com.br/ngx-epac/public/home,sim (evidência pontual),PDF oficial de integração (HotSite Vida Individual); fluxo server-to-server,cotação (vida individual) via concessão de link; autenticação client_credentials,alto,alto (aprovação comercial + credenciais exclusivas + restrição a server-to-server),Guia aponta restrição de chamadas do browser cliente (sem AJAX) e dependência de backend do corretor.,mixed,2026-04-06,insurer
Yelum,yelum,https://novomeuespacocorretor.yelumseguros.com.br/home,sim,"PDFs técnicos (guia/FAQ) descrevem token, chaves e endpoints; legado Liberty com portal developer e APIs",autenticação/token; cotação auto; emissão/contratação; documentos; e-retorno (legado),médio-alto,alto (chaves + controle de acesso; legados; possível aprovação/manual),Evidência de endpoints e ambientes em domínios de integração e em APIs do legado Liberty.,mixed,2026-04-06,insurer
MAPFRE,mapfre,https://negocios.mapfre.com.br/,não encontrado (nesta coleta),Sem portal dev/API público identificado; evidência institucional Open Insurance + participação OPIN,open_insurance (setorial); portal_only para operação,médio,alto (provável dependência de credenciais e processos comerciais; sem evidência de API aberta),Vetor mais claro de padronização tende a ser Open Insurance (quando aplicável) ou acordos B2B não públicos.,portal_first,2026-04-06,insurer
Azul Seguros,azul,https://www.azulseguros.com.br/area-restrita/,não,Portal web com login multi-perfil; sem portal dev/API pública evidenciado,portal_only; sinistro/assistência/cobrança via web,médio,alto (login e contexto operacional; integração automatizada não evidenciada),"Marca ligada ao ecossistema Porto; integrações internas podem existir, mas não há evidência pública direta aqui.",portal_first,2026-04-06,insurer
Alfa Seguros,alfa,https://wwws.alfaseguradora.com.br/portal/Corretor/Login,sim (SOAP),Web Services SOAP expostos publicamente (Multi-Risco) com necessidade de cadastramento,emissão via upload; operações multi-risco,médio,alto (cadastramento + integração SOAP/legado),Arquitetura sugere legado (ASMX/IIS) e pode exigir onboarding específico por produto/alçada.,mixed,2026-04-06,insurer
Chubb,chubb,unknown,sim (parcerias),Página institucional Chubb Studio e portal API Connect (global) para descoberta/teste,embedded/cotação/contratação; serviços do ciclo (depende de parceria),alto,alto (integração via parceria/distribuição; escopo e acesso dependem de contrato),Evidência pública é mais de posicionamento e portal global; documentação completa tende a exigir onboarding.,api_first,2026-04-06,insurer
Sura,sura,https://www.segurossura.com.br/acesso-portal/corretor.html,unclear,Portal do corretor web (requer modo compatibilidade IE); sem portal dev/API público identificado,portal_only; sinistro; cotação; comissão; 2ª via,alto,alto (legado + dependência de browser/credenciais),Dependência de compatibilidade IE sugere alto atrito para automação; priorizar operação humana enquanto não houver APIs.,human_only_for_now,2026-04-06,insurer
Liberty,liberty_legacy,https://developer.libertyseguros.com.br/,sim,portal de desenvolvedor + catálogo/API docs + OAuth2/token,developer_portal; api_catalog,médio,"alto (parceria, credenciais e onboarding)",Consolidação automática a partir do registry técnico completo; não havia linha-resumo explícita no arquivo fonte.,mixed,2026-04-06,insurer
