insurer_name,insurer_key,surface_name,audience,line_of_business,journey_type,canonical_url,launch_url,url_kind,auth_type,challenge_profile,session_profile,integration_type,public_api_evidence,broker_standardization_likelihood,same_for_all_brokers,notes,confidence,official_sources,checked_at
Allianz,allianz,AllianzNet Corretor (Portal do Corretor),corretor,multiproduto,login_base,https://www.allianznet.com.br/ngx-epac/public/home,https://www.allianznet.com.br/ngx-epac/public/home,canonical,login_password,unknown,likely_expires,portal_only,unclear,high,unknown,Portal do corretor com login por usuário e senha; página indica senha sensível a maiúsculas/minúsculas e oferece recuperação de senha.,confirmed,https://www.allianznet.com.br/ngx-epac/public/home,2026-04-06
Allianz,allianz,AllianzNet SSO/IDP (SEAServlet),corretor,multiproduto,login_base,https://www.allianznet.com.br/idp/SEAServlet?action=home,https://www.allianznet.com.br/idp/SEAServlet?action=home,sessionized,login_password,unknown,likely_expires,portal_only,unclear,medium,unknown,Página de identificação do SSO/IDP; exibe mensagem de sessão expirada e campos User/Password.,confirmed,https://www.allianznet.com.br/idp/SEAServlet?action=home,2026-04-06
Allianz,allianz,Allianz Cliente (Portal do Cliente),segurado,multiproduto,login_base,https://seguros.allianz.com.br/ngx-ecliente/public/register,https://seguros.allianz.com.br/ngx-ecliente/public/register,canonical,login_password,unknown,likely_expires,mixed,unclear,medium,unknown,"Portal do segurado/cliente com serviços como emissão de 2ª via de boleto, visão de apólices, abertura e status de sinistros (conforme página institucional); cadastro/ativação utiliza código enviado por e-mail.",confirmed,https://www.allianz.com.br/sobre-allianz/allianz-cliente.html; https://seguros.allianz.com.br/ngx-ecliente/public/register; https://seguros.allianz.com.br/ngx-ecliente/public/activation-code,2026-04-06
Allianz,allianz,Allianz Cliente (tela de código de ativação),segurado,multiproduto,login_base,https://seguros.allianz.com.br/ngx-ecliente/public/activation-code,https://seguros.allianz.com.br/ngx-ecliente/public/activation-code,canonical,login_password_mfa,unknown,likely_expires,mixed,unclear,medium,unknown,"Fluxo de registro/ativação do portal solicita CPF/CNPJ, usuário e código de ativação.",confirmed,https://seguros.allianz.com.br/ngx-ecliente/public/activation-code,2026-04-06
Allianz,allianz,Pagamentos Allianz (extrato/boleto/2ª via),segurado,multiproduto,cobrança,https://www.allianz.com.br/pagamentos.html,https://www.allianz.com.br/pagamentos.html,canonical,unknown,none,unknown,portal_only,unclear,high,unknown,Página institucional para acessar extrato e boleto/2ª via e apoiar gestão de pagamentos.,confirmed,https://www.allianz.com.br/pagamentos.html,2026-04-06
Allianz,allianz,Serviços Digitais Allianz (hub),segurado,multiproduto,suporte,https://www.allianz.com.br/servicos.html,https://www.allianz.com.br/servicos.html,canonical,unknown,none,unknown,mixed,unclear,high,unknown,"Hub institucional com atalhos para portais (corretor/cliente/prestador), chat e outras jornadas.",confirmed,https://www.allianz.com.br/servicos.html,2026-04-06
Allianz,allianz,Contato Allianz (central de canais digitais),segurado,multiproduto,suporte,https://www.allianz.com.br/contato.html,https://www.allianz.com.br/contato.html,canonical,unknown,none,unknown,mixed,unclear,high,unknown,"Página institucional consolida canais digitais para assistência, sinistro digital, chat e app.",confirmed,https://www.allianz.com.br/contato.html,2026-04-06
Allianz,allianz,Sinistro Digital Allianz (aviso e acompanhamento),segurado,multiproduto,sinistro,https://sec-br.controlexpert.com,https://sec-br.controlexpert.com/apps/allianz.ect360/acm/,deep_link,unknown,unknown,unknown,portal_only,unclear,medium,unknown,Plataforma externa linkada do site da Allianz para aviso e acompanhamento de sinistro; evidência institucional também afirma acesso por múltiplos canais.,confirmed,https://www.allianz.com.br/contato.html; https://sec-br.controlexpert.com/apps/allianz.ect360/acm/,2026-04-06
Allianz,allianz,Assistência 24h online Allianz Auto,segurado,auto,assistência,https://allianzauto.assistencia24h.com.br/,https://allianzauto.assistencia24h.com.br/,canonical,unknown,unknown,unknown,portal_only,unclear,medium,unknown,Canal web para solicitação de assistência auto (linkado do portal institucional).,confirmed,https://www.allianz.com.br/contato.html,2026-04-06
Allianz,allianz,Chat Allianz (atendimento digital),segurado,multiproduto,suporte,https://chatcc.allianz.com.br,https://chatcc.allianz.com.br,canonical,unknown,unknown,unknown,mixed,unclear,high,unknown,Canal de chat para atendimento (linkado em páginas institucionais de serviços/contato).,confirmed,https://www.allianz.com.br/contato.html; https://www.allianz.com.br/servicos.html,2026-04-06
Allianz,allianz,AllianzNet Prestador (portal parceiro/prestador),parceiro,multiproduto,login_base,https://www.allianznet.com.br/,https://www.allianznet.com.br/,canonical,login_password,unknown,likely_expires,portal_only,unclear,medium,unknown,Página institucional de prestadores informa existir canal dedicado via 'Allianznet Prestador' para gerir documentações e pagamentos.,strong_evidence,https://www.allianz.com.br/sobre-allianz/prestadores.html,2026-04-06
Allianz,allianz,Portal Transportes (Allianz),interno,transporte,login_base,https://transportes.allianznet.com.br/Login,https://transportes.allianznet.com.br/Login,canonical,login_password,unknown,likely_expires,portal_only,unclear,low,unknown,Portal específico de transportes com tela de login e seleção de filial; função exata (interno x parceiro) não é explicitada na tela.,confirmed,https://transportes.allianznet.com.br/Login; https://www.allianz.com.br/sobre-allianz/prestadores.html,2026-04-06
Allianz,allianz,App Allianz Cliente (Android),segurado,multiproduto,mobile_app,https://play.google.com/store/apps/details?hl=pt_BR&id=br.com.allianz.mobile.auto,https://play.google.com/store/apps/details?hl=pt_BR&id=br.com.allianz.mobile.auto,canonical,unknown,unknown,unknown,app_only,unclear,high,yes,"App oficial para Auto/Residência/Vida/AP; permite consultar apólice, pagamentos, aviso/acompanhamento de sinistro e assistência (conforme descrição).",confirmed,https://play.google.com/store/apps/details?hl=pt_BR&id=br.com.allianz.mobile.auto; https://www.allianz.com.br/servicos/app-allianz-cliente.html,2026-04-06
Allianz,allianz,App Allianz Cliente (iOS),segurado,multiproduto,mobile_app,https://apps.apple.com/br/app/allianz-cliente/id1554862261,https://apps.apple.com/br/app/allianz-cliente/id1554862261,canonical,unknown,unknown,unknown,app_only,unclear,high,yes,Versão iOS do app oficial Allianz Cliente.,confirmed,https://apps.apple.com/br/app/allianz-cliente/id1554862261; https://www.allianz.com.br/servicos/app-allianz-cliente.html,2026-04-06
Allianz,allianz,Cotação online (hub),segurado,multiproduto,cotação,https://cote.allianz.com.br/,https://cote.allianz.com.br/,canonical,unknown,unknown,unknown,portal_only,unclear,high,yes,"Hub de cotação on-line referenciado no site institucional para Seguro Auto, Residencial e Vida (pode ser SPA).",strong_evidence,https://www.allianz.com.br/; https://cote.allianz.com.br/,2026-04-06
