insurer_name,insurer_key,operational_summary_available,operational_row_level_available,operational_row_count,portal_base_do_corretor_operacional,portal_base_do_segurado_operacional,existe_app_relevante_operacional,principais_jornadas_operacionais,superficies_operacionais_mais_uteis,risco_de_bloqueio_operacional,recomendacao_dashboard_operacional,observacoes_operacionais,technical_summary_available,technical_row_level_available,technical_row_count,existe_api_publica_ou_portal_dev,tipo_de_evidencia_tecnica_encontrada,principais_jornadas_tecnicas,risco_de_bloqueio_tecnico,dependencia_onboarding_tecnica,observacoes_tecnicas,recomendacao_dashboard_tecnica,portal_base_tecnico_referencia,coverage_status
Alfa Seguros,alfa,yes,yes,12,https://areacorretor.alfaseguradora.com.br/,https://wwws.alfaseguradora.com.br/Segurado/,no,"login_base, cotação, login_base, assistência, apólice/documentos","Assistência 24H / contatos (auto/vida), Formulários Úteis (sinistro)",medium,portal_first,,yes,yes,2,sim (SOAP),Web Services SOAP expostos publicamente (Multi-Risco) com necessidade de cadastramento,emissão via upload; operações multi-risco,médio,alto (cadastramento + integração SOAP/legado),Arquitetura sugere legado (ASMX/IIS) e pode exigir onboarding específico por produto/alçada.,mixed,https://wwws.alfaseguradora.com.br/portal/Corretor/Login,operational_detailed + technical_detailed
Allianz,allianz,yes,yes,15,https://www.allianznet.com.br/ngx-epac/public/home,https://seguros.allianz.com.br/ngx-ecliente/public/register,yes,"assistência, cobrança, cotação, login_base, mobile_app, sinistro, suporte","AllianzNet Corretor, Allianz Cliente, Sinistro Digital (controlexpert), Pagamentos, Assistência 24h online, Chat",medium,mixed,Sinistro e assistência têm componentes em domínios terceiros (ControlExpert; assistencia24h). Portal Transportes dedicado.,yes,yes,1,sim (evidência pontual),PDF oficial de integração (HotSite Vida Individual); fluxo server-to-server,cotação (vida individual) via concessão de link; autenticação client_credentials,alto,alto (aprovação comercial + credenciais exclusivas + restrição a server-to-server),Guia aponta restrição de chamadas do browser cliente (sem AJAX) e dependência de backend do corretor.,mixed,https://www.allianznet.com.br/ngx-epac/public/home,operational_detailed + technical_detailed
Azul Seguros,azul,yes,yes,23,https://www.azulseguros.com.br/area-restrita/,https://www.azulseguros.com.br/area-restrita/,no,"login_base, login_base, login_base, login_base, login_base, cotação",,high,portal_first,,yes,yes,1,não,Portal web com login multi-perfil; sem portal dev/API pública evidenciado,portal_only; sinistro/assistência/cobrança via web,médio,alto (login e contexto operacional; integração automatizada não evidenciada),"Marca ligada ao ecossistema Porto; integrações internas podem existir, mas não há evidência pública direta aqui.",portal_first,https://www.azulseguros.com.br/area-restrita/,operational_detailed + technical_detailed
Bradesco Seguros,bradesco,yes,no,0,https://wwws.bradescoseguros.com.br/portaldenegocios/index.asp,,yes,"login_base, mobile_app, mobile_app, segunda_via, status, sinistro, mobile_app","Central Segunda Via de Boleto (clientes), Acompanhamento de sinistro Auto (segurado/terceiro), Central de Sinistro Auto (identificação)",medium,mixed,,yes,yes,4,sim,"API Developer Portal; menciona OAuth2, JWT e certificados (SSL/mTLS); Swagger disponível",developer_portal; api_catalog; cotação; efetivação; pagamento; consulta; endosso,médio-alto,alto (exige parceria/liberação; potencial mTLS/setup + processo comercial),Portal distingue documentação disponível vs uso efetivo (liberação para parceiros).,api_first,https://wwws.bradescoseguros.com.br/portaldenegocios/index.asp,operational_summary_only + technical_detailed
Chubb,chubb,yes,yes,14,,,no,"login_base, sinistro, sinistro, apólice/documentos, sinistro","Portal de Sinistros Chubb (landing), Aviso de Sinistro (fluxo), Apólice Digital (portal), Comunique um Sinistro (plataforma LA)",medium,portal_first,,yes,yes,2,sim (parcerias),Página institucional Chubb Studio e portal API Connect (global) para descoberta/teste,embedded/cotação/contratação; serviços do ciclo (depende de parceria),alto,alto (integração via parceria/distribuição; escopo e acesso dependem de contrato),Evidência pública é mais de posicionamento e portal global; documentação completa tende a exigir onboarding.,api_first,unknown,operational_detailed + technical_detailed
Generali Brasil,generali,yes,no,0,,https://portal.generali.com.br/Portal/usuario/login,no,"login_base, sinistro",Acione o seu seguro (landing),medium,portal_first,,no,no,0,,,,,,,,,operational_summary_only
HDI,hdi,yes,yes,13,https://www.hdi.com.br/hdidigital/,https://www.hdi.com.br/segurado/v2/portalDoSegurado/login,yes,"assistência, login_base, mobile_app, sinistro, suporte","HDI Digital (corretor), Portal do Segurado (apólice/boleto/sinistro/assistência), Portal do Terceiro, Apps HDI Segurado/Corretor",medium,mixed,Canais Digitais e Acessos listam explicitamente portais por público; assistência usa canal externo (facil24h).,yes,yes,4,sim,Portal Developers + referências de API com endpoints (openapi.*) + Swagger/Postman para download,developer_portal; autenticação/token; cotação/recálculo/efetivação; status de propostas,médio,alto (solicitação de acesso + token; possível governança por parceiro),Documentação de API expõe ambientes de homologação e produção e artefatos (Swagger/Postman).,api_first,https://www.hdiseguros.com.br/acessos,operational_detailed + technical_detailed
Liberty,liberty_legacy,no,no,0,,,,,,,,,yes,yes,3,sim,portal de desenvolvedor + catálogo/API docs + OAuth2/token,developer_portal; api_catalog,médio,"alto (parceria, credenciais e onboarding)",Consolidação automática a partir do registry técnico completo; não havia linha-resumo explícita no arquivo fonte.,mixed,https://developer.libertyseguros.com.br/,technical_detailed_only
MAPFRE,mapfre,yes,no,0,https://negocios.mapfre.com.br/,https://mol.mapfre.com.br/,yes,"login_base, suporte, login_base, login_base, sinistro, sinistro, status, mobile_app, mobile_app","Sinistro (landing), Sinistro - Não sou segurado (auto), Status/consulta de sinistro (portal dedicado)",medium,mixed,,yes,yes,1,não encontrado (nesta coleta),Sem portal dev/API público identificado; evidência institucional Open Insurance + participação OPIN,open_insurance (setorial); portal_only para operação,médio,alto (provável dependência de credenciais e processos comerciais; sem evidência de API aberta),Vetor mais claro de padronização tende a ser Open Insurance (quando aplicável) ou acordos B2B não públicos.,portal_first,https://negocios.mapfre.com.br/,operational_summary_only + technical_detailed
Porto,porto,yes,yes,16,https://corretor.portoseguro.com.br/corretoronline/,https://cliente.portoseguro.com.br/auth/login,yes,"assistência, cotação, login_base, mobile_app, sinistro, status, suporte, segunda_via","Corretor Online (CPF+SUSEP+reCAPTCHA), App Porto, Quero Pagar (2ª via), Sinistros (hub/veículos/celular/vida), Assistência 24h (carro)",high,mixed,Login do corretor menciona reCAPTCHA; várias páginas de portal/atendimento são SPA/JS-heavy e podem exigir navegação real.,yes,yes,4,sim,Portal de desenvolvedor + docs OAuth2 (client_id/client_secret) + sandbox + base de suporte,developer_portal; api_catalog; autenticação/token; sandbox; suporte,médio,alto (parceria/acordo + aprovação + gestão de app/credenciais),Portal indica aceite apenas de parceiros com acordo. Fluxo baseado em APP e token OAuth2.,mixed,https://corretor.portoseguro.com.br/corretoronline/,operational_detailed + technical_detailed
