insurer_name,insurer_key,surface_name,audience,line_of_business,journey_type,canonical_url,launch_url,url_kind,auth_type,challenge_profile,session_profile,integration_type,public_api_evidence,broker_standardization_likelihood,same_for_all_brokers,notes,confidence,official_sources,checked_at
Porto,porto,Portal da Pessoa Desenvolvedora (catálogo de APIs),desenvolvedor,multiproduto,developer_portal,https://dev.portoseguro.com.br/api-portal/node/1,https://dev.portoseguro.com.br/api-portal/node/1,canonical,login_password,unknown,likely_expires,api_partner,yes,high,partial,Portal de desenvolvedores indica acesso ao catálogo de APIs; cadastro aceito apenas para parceiros com acordo estabelecido.,confirmed,https://dev.portoseguro.com.br/api-portal/node/1,2026-04-06
Porto,porto,Documentação de autorização e token (OAuth 2.0),desenvolvedor,multiproduto,api_catalog,https://dev.portoseguro.com.br/api-portal/content/autorizacao,https://dev.portoseguro.com.br/api-portal/content/autorizacao,canonical,oauth2,unknown,api_token_based,api_partner,yes,high,partial,Página descreve concessão de token OAuth 2.0 e necessidade de Client ID/Client Secret obtidos via criação de APP no portal.,confirmed,https://dev.portoseguro.com.br/api-portal/content/autorizacao,2026-04-06
Porto,porto,Introdução e ambiente de Sandbox (orientações),desenvolvedor,multiproduto,suporte,https://dev.portoseguro.com.br/api-portal/content/introducao,https://dev.portoseguro.com.br/api-portal/content/introducao,canonical,unknown,unknown,unknown,api_partner,yes,high,partial,Texto menciona testes em sandbox com dados mock; consumo exige token e APP cadastrada/aprovada pela companhia.,confirmed,https://dev.portoseguro.com.br/api-portal/content/introducao,2026-04-06
Porto,porto,FAQ e base de suporte do portal de APIs (Zendesk),desenvolvedor,multiproduto,suporte,https://devportoseg.zendesk.com/hc/pt-br/categories/24577718731149-D%C3%BAvidas-Frequentes-APIs-Porto-Seguro,https://devportoseg.zendesk.com/hc/pt-br/categories/24577718731149-D%C3%BAvidas-Frequentes-APIs-Porto-Seguro,canonical,unknown,unknown,unknown,api_partner,yes,medium,partial,Base de ajuda específica para APIs Porto Seguro.,confirmed,https://devportoseg.zendesk.com/hc/pt-br/categories/24577718731149-D%C3%BAvidas-Frequentes-APIs-Porto-Seguro,2026-04-06
Zurich,zurich,Portal de Desenvolvedores (Zurich Developers),desenvolvedor,multiproduto,developer_portal,https://api-portal.zurich.com.br/api-portal/en,https://api-portal.zurich.com.br/api-portal/en,canonical,login_password,unknown,likely_expires,api_partner,yes,high,partial,Portal informa que acesso é solicitado via ponto de contato na companhia; documentação funcional e técnica fica disponível após autenticação.,confirmed,https://api-portal.zurich.com.br/api-portal/en,2026-04-06
Zurich,zurich,"API Guide e autenticação (tokens, client_id)",desenvolvedor,multiproduto,api_catalog,https://api-portal.zurich.com.br/api-portal/content/api-guide,https://api-portal.zurich.com.br/api-portal/content/api-guide,canonical,oauth2,unknown,api_token_based,api_partner,yes,high,partial,Documentação descreve autenticação via tokens em header; client_id é gerado na criação de uma APP no portal do desenvolvedor.,confirmed,https://api-portal.zurich.com.br/api-portal/content/api-guide,2026-04-06
Zurich,zurich,Documentação OAuth 2 (conceitos e fluxo),desenvolvedor,multiproduto,api_catalog,https://api-portal.zurich.com.br/api-portal/content/oauth-2,https://api-portal.zurich.com.br/api-portal/content/oauth-2,canonical,oauth2,unknown,api_token_based,api_partner,yes,medium,partial,Página resume OAuth 2 como padrão de autenticação para acesso a recursos por terceiros.,confirmed,https://api-portal.zurich.com.br/api-portal/content/oauth-2,2026-04-06
HDI,hdi,HDI Developers (portal de parcerias e APIs),desenvolvedor,multiproduto,developer_portal,https://developers.hdi.com.br/page/home,https://developers.hdi.com.br/page/home,canonical,unknown,unknown,unknown,api_partner,yes,high,partial,Portal menciona solicitação de acesso e biblioteca de APIs para projetos de parceiros.,confirmed,https://developers.hdi.com.br/page/home,2026-04-06
HDI,hdi,"Fluxo de autenticação (autorização, gerar/renovar token)",desenvolvedor,multiproduto,api_catalog,https://developers.hdi.com.br/reference/nossas-apis,https://developers.hdi.com.br/reference/nossas-apis,canonical,oauth2,unknown,api_token_based,api_partner,yes,high,partial,Documentação descreve fluxo de autorização e geração/renovação de token para uso das APIs.,confirmed,https://developers.hdi.com.br/reference/nossas-apis,2026-04-06
HDI,hdi,API de Gerar Token (endpoint e Swagger/Postman),desenvolvedor,multiproduto,api_catalog,https://developers.hdi.com.br/reference/autenticacao-post-token,https://developers.hdi.com.br/reference/autenticacao-post-token,canonical,oauth2,unknown,api_token_based,api_partner,yes,high,partial,Página expõe endpoint de token em openapi-int.hdi.com.br e openapi.hdi.com.br e disponibiliza Swagger e Postman.,confirmed,https://developers.hdi.com.br/reference/autenticacao-post-token,2026-04-06
